_id,title,category, post_type
5e3c7293eab55d319938a74d,PHP,Computer Technology|Programming languages,blog
5e3e9cc0eab55d319938a79b,C#(.NET),Computer Technology|Programming languages,blog
5e3ea110eab55d319938a7a7,OS,,project
5e3fc856eab55d319938a7f2,BASIC STRUCTURE DOCTRINE,Legal Studies|Legal System,blog
5e3fc931eab55d319938a7f4,SPORTS LEGISLATIONS IN INDIA,Sports Coaching|Sports Law,blog
5e3fcb74eab55d319938a806,Economics Sociology,Economics|Economics Sociology,blog
5e3fcc56eab55d319938a808,Concept of Revenue,Economics|Revenue Concept,blog
5e3fcd38eab55d319938a81a,Human Rights and Duties,Human Rights|Rights and Duties,blog
5e3fce21eab55d319938a81c,Concept of Human Rights and Duties,Human Rights|Rights and Duties,blog
5e3fcfcdeab55d319938a81e,Sociology of Religion,Sociology|Sociology of Religion,blog
5e3fd10aeab55d319938a820,Sociology in India,Sociology|Sociology in India,blog
5e3fd290eab55d319938a822,International Politics,Political Science|International Politics,blog
5e3fd3bdeab55d319938a824,Colonialism in India,Political Science|Colonialism In India,blog
5e3fd57aeab55d319938a826,Labour law,Legal Studies|Labor Law,blog
5e41b98eeab55d319938a82d,PHP Variables,Computer Technology|Design and Analysis of Algorithms|Programming languages,blog
5e41bd7deab55d319938a839,Operators In PHP,Computer Technology|Computer Application|Programming languages|Information Technology,blog
5e431bf9eab55d319938a86a,Computer Graphics,Graphics|Computer Creation,blog
5e45ae70f5561b1994c8e320,Graphical Input Devices,Graphics|Computer Creation,blog
5e45b5c9f5561b1994c8e32d,EDI (Electronic data interchange),E Commerce|Other Online Platforms,blog
5e4a3cf6f5561b1994c8e378,Making of the Joker sketch,Drawing,skill
5e4af475f5561b1994c8e385,Lord shiva (Shadow Drawing),Drawings|Artistic design,artwork
5e4ba3a9f5561b1994c8e392,Hand Art,Drawings|Artistic design|Illustration,artwork
5e4ba8b2f5561b1994c8e39f,Hand art,Drawing,skill
5e4c28c5f5561b1994c8e3b0,E-Commerce - Business Models,E Commerce|Shopping Platform|Other Online Platforms,blog
5e4c2e65f5561b1994c8e3bd,E-Cash,E Commerce|E Transactions,blog
5e4c3873f5561b1994c8e3d9,Bill Calculation(PHP),,project
5e4c3c09f5561b1994c8e3e6,Stereoscopic and virtual-reality systems,Computer Technology|Hardware|Information Technology,blog
5e4c3d1df5561b1994c8e3f3,Raster graphics systems,Computer Technology|Computation|Computer Application,blog
5e4c435cf5561b1994c8e400,Printers,Computer Technology|Computation,blog
5e4d359cf5561b1994c8e424,Business skills,Business|Business Skills,blog
5e4da502f5561b1994c8e42c,Prime No.(PHP),,project
5e4da7c8f5561b1994c8e439,Factorial of a No.(PHP),,project
5e4dab15f5561b1994c8e446,Palindrome No.(PHP),,project
5e4ed85af5561b1994c8e470,Factorial (.net),,project
5e4ed8ccf5561b1994c8e47d,Leap year checking (.net),,project
5e4edd1bf5561b1994c8e48a,Delegates(.net),,project
5e4edd87f5561b1994c8e497,Overloading Method(.net),,project
5e4ef199f5561b1994c8e4a4,Mahakaal,Drawings,artwork
5e50141ed15de17a8cf1b912,Firewall,Computer Technology|Computer Application|Hardware|Information Technology,blog
5e501d55d15de17a8cf1b91f,DATA AND MESSAGE SECURITY,Computer Technology|Computer Application,blog
5e50207cd15de17a8cf1b92c,Mobile Computing Technology,Computer Technology|Mobile Applications,blog
5e5023f1d15de17a8cf1b939,Applications of mobile computing,Computer Technology|Computer Application,blog
5e502673d15de17a8cf1b946,Data Transmission Modes,Computer Technology|Computer Application|Operating Systems,blog
5e518c9fd701ab08af79299a,Topology & it's types,Computer Technology|Information Technology|Computer Application,blog
5e5196b5d701ab08af7929a8,Baseband & Broadband,Computer Technology|Computer Application|Information Technology,blog
5e519e8fd701ab08af7929b5,Information System,Computer Technology|Information Technology|Computer Application,blog
5e51a2cfd701ab08af7929c2,Database management system(DBMS),Computer Technology|Computer Application|Information Technology,blog
5e51a46ad701ab08af7929cf,Ethernet,Computer Technology|Information Technology,blog
5e51a9e8d701ab08af7929dc,Mahakaal,Drawing,skill
5e52e1b0d701ab08af7929eb,Network Model,Computer Technology|Computer Application|Information Technology,blog
5e52e7abd701ab08af7929f8,Decision Making with 7 steps !!!,Computer Technology|Computer Application|Information Technology,blog
5e52f2b8d701ab08af792a05,Network & it's types,Computer Technology|Computer Application|Information Technology,blog
5e52f911d701ab08af792a12,Communication,Communication|Basics of Communiaction,blog
5e52fd0ed701ab08af792a1f,Network Security Threats,Computer Technology|Computer Application,blog
5e5b561cd701ab08af792b8a,Morning nectar,Drawings,artwork
5e5b59bcd701ab08af792b8f,I am just hoping we'll have cake by the ocean,Drawings,artwork
5e5b59cbd701ab08af792b90,The girl in the meadow,Drawings|Painting|Visual Arts|Graphic Design|Prints|Illustration,artwork
5e5b6320d701ab08af792b9d,Concept of Revenue,Economics|Revenue Concept,blog
5e5bb3eed701ab08af792bfa,The Nerd who was thrown out.,Drawings|Visual Arts|Painting|Graphic Design|Artistic design|Illustration,artwork
5e5bdf4fd701ab08af792bfd,Artificial Intelligence,Computer Technology|Artificial Intelligence,blog
5e5e3b35fbc8805f69e02c9e,Importance of Digital Marketing for Startups,Marketing|Advertising,blog
5e5e7e0afbc8805f69e02ca8,What is Effective Leadership In Politics,Political Science|Political Thought,blog
5e5e81e8fbc8805f69e02cab,Preparation and Presentation of Company Final Accounts,Accounting|Fundamental Of Accounting,blog
5e5facf649d7f322c033e02b,SERP Meta Checker | Check Your Meta Preview in SERP | Tools For Search Engine Optimization,Mixed Media,artwork
5e5fcd9a49d7f322c033e02f,Terrible Leadership And Its Influence In Companies,Management|Team Mangememnt,blog
5e65346c85ae350860168b53,What is Information technology?,Computer Technology|Information Technology,blog
5e6eff8aed32a005135d6bb8,Why Do Millennials Change Jobs?,Business|Corporate Social Responsibilities,blog
5e7082f91b24db0468e90cc5,Distracted? Unfocused? Used This Method To Avoid Distraction.,Philosophy|Applied Ethics,blog
5e7220891b24db0468e90ce2,5 Best Productivity Web Apps For Students.,Human Resources|Performance In Organization|Organizational Behaviour|HR Management,blog
5e7304761b24db0468e90ce7,Textile And Apparel Testing,Fashion Desigining|Fashion Textile|Fashion Manufacturing|Fashion Techniques|Garment Production|Garment Technology,blog
5e733f1c1b24db0468e90cf1,Benefits of Guest Posting to both Writers and Brand,Marketing|Promotion And Distribution Decisions,blog
5e767d501b24db0468e90d54,Gynecology,Biotechnology|Genetic Engineering,blog
5e7680361b24db0468e90d66,App Development,Computer Technology|Mobile Applications,blog
5e773c0bcfc8b713f5ac7ab7,Study of Nerves,Physiology|Neurology,blog
5e773c89cfc8b713f5ac7ac9,Corona: What it is; how to prevent it and its effect on us,Mass Media|Indian Government,blog
5e773e15cfc8b713f5ac7ad9,Skeletal System,Physiology|Osteology,blog
5e7743ebcfc8b713f5ac7aeb,Protect the Heart,Physiology|Cardiology,blog
5e776c1fcfc8b713f5ac7b23,What is Ecology?,Zoology|Ecology,blog
5e77738bcfc8b713f5ac7b36,Cloud Computing,Computer Technology|Cloud Computing,blog
5e778ffccfc8b713f5ac7b50,What is Radiology?,Physiology|Radiology,blog
5e77bdc2cfc8b713f5ac7be4,Operating System 1,Computer Technology|Operating Systems,blog
5e77c625cfc8b713f5ac7c0b,Molecular Biology,Biotechnology|Molecular Biology,blog
5e782cd9cfc8b713f5ac7c4f,🍉 Watermelon lemon cooler,Physiology|Gastroenterology|Cardiology,blog
5e783590cfc8b713f5ac7c5d,Quarantine days,Painting,artwork
5e7838bdcfc8b713f5ac7c99,Sad songs,Philosophy|Logic,blog
5e787636cfc8b713f5ac7cbe,Sunsets in Ottawa,Painting,artwork
5e78ae4ccfc8b713f5ac7cde,Sketch,Drawings,artwork
5e78c64acfc8b713f5ac7ce7,Best place in the world,Watercolours,artwork
5e78d6dccfc8b713f5ac7cf4,Childhood Sketch,Drawings|Watercolours,artwork
5e79b32ecfc8b713f5ac7d3f,The legend,Drawings,artwork
5e79b8becfc8b713f5ac7d45,The sorting hat,Drawings,artwork
5e79cf2acfc8b713f5ac7d4e,Truth❤💯,Mixed Media|Conceptual,artwork
5e79f3fccfc8b713f5ac7d54,The Enlightened Dreams,Drawings|Painting|Watercolours,artwork
5e7a0d85cfc8b713f5ac7d77,Gun store Logo.,Visual Arts,artwork
5e7a0fa1cfc8b713f5ac7d78,Breathe in quarantine!,Drawings|Calligraphy,artwork
5e7a5ebdcfc8b713f5ac7d7f,I won the Art.,Conceptual,artwork
5e7a5f5dcfc8b713f5ac7d80,Let's Slide.,Pen and ink,artwork
5e7a605dcfc8b713f5ac7d81,21 day Lock down. Quarantine,Conceptual,artwork
5e7a60edcfc8b713f5ac7d82,Tea!,Drawings,artwork
5e7a614fcfc8b713f5ac7d83,You are late.,Drawings,artwork
5e7a629ccfc8b713f5ac7d84,3D composition.,Tapestry,artwork
5e7a633ecfc8b713f5ac7d85,Designs : where magic happens.,Calligraphy,artwork
5e7a63c2cfc8b713f5ac7d86,Fight: Against Corona virus,Drawings,artwork
5e7a7066cfc8b713f5ac7d88,How Does A Person's Personal Development Affect His Business Leadership Ability?,Human Resources|Performance In Organization,blog
5e7b1e65cfc8b713f5ac7d90,Shiva Portrait,Drawings,artwork
5e7b8764cfc8b713f5ac7da2,Inside life,Drawings,artwork
5e7bd922cfc8b713f5ac7da9,What sports will look like in the future,Computer Technology|Robotics|Data Science|Information Technology|Artificial Intelligence,blog
5e7c78fdcfc8b713f5ac7daa,Types Of AI.,Computer Technology|Artificial Intelligence,blog
5e7c7a44cfc8b713f5ac7dac,Accounting As A Financial Institution.,Accounting|Fundamental Of Accounting,blog
5e7cc074cfc8b713f5ac7db0,REAL TALK,Philosophy|Public Philosophy,blog
5e7de250a3258347b42f210a,Top 10 big benefits of having a digital marketing career,Digital Marketing,skill
5e7de48ca3258347b42f2110,Painting,Drawings,artwork
5e7df068a3258347b42f2125,screw town,Photography,artwork
5e7df283a3258347b42f2128,screw2,Photography,artwork
5e7e66e7a3258347b42f213c,Netflix: As a Case Study,Mass Media|Videography,blog
5e7f39a3a3258347b42f2151,The Meenamma,Drawings|Painting|Visual Arts|Artistic design|Watercolours|Acrylics,artwork
5e7f3cf8a3258347b42f2154,Piglet,Drawings,artwork
5e7f4fb3a3258347b42f2156,100 Free University Courses Online [2020],Biotechnology|Plant Biotechnology,blog
5e80b40ea3258347b42f21a5,Will IPL happen this year,Sports Coaching|Sports Event,blog
5e80b4cca3258347b42f21a7,Is China lying about Corona,Political Science|Government and Politics,blog
5e8164f9a3258347b42f21bf,Is The Ozone Layer Healing Itself Because Of The World Lockdown.,Geography|Physical Geography,blog
5e816629a3258347b42f21c2,Employee Stock Option and Buyback Securities.,Marketing|Promotion And Distribution Decisions,blog
5e81a441a3258347b42f21d1,20 Best Data Science Certification & Courses for 2020,Computer Technology|Data Science,blog
5e81a4f2a3258347b42f21d3,7 Best Python Data Science Courses & Certification [2020],Computer Technology|Machine Learning,blog
5e81b47fa3258347b42f21d7,7 Steps To Stay Safe From Corona Virus,Mass Media|Indian Government,blog
5e81ba06a3258347b42f21ef,Managing Stress Amidst Corona,Mass Media|Indian Government,blog
5e81bc41a3258347b42f220a,How to Maintain Physical Distance: Physical Distance 101,Mass Media|Indian Government,blog
5e81be54a3258347b42f221d,Work From Home: Working Under Corona's Effect,Mass Media|Indian Government,blog
5e81bf2fa3258347b42f2244,Disease Prevention,Graphic Design,artwork
5e81bf73a3258347b42f2257,Symptoms of Corona Virus,Visual Arts,artwork
5e81bfe5a3258347b42f226a,7 Steps To Prevent COVID-19,Visual Arts,artwork
5e81c06ba3258347b42f227d,Break The Chain: Stop The Spread,Visual Arts,artwork
5e81c0cba3258347b42f2290,Is there any vaccine of COVID-19?,Visual Arts,artwork
5e81c101a3258347b42f22a3,Corona's Checklist,Visual Arts,artwork
5e81c15aa3258347b42f22b6,Handwashing 101,Visual Arts,artwork
5e81c1b7a3258347b42f22ca,Be kind during Corona,Visual Arts,artwork
5e81c1e6a3258347b42f22dd,Self Quarantine,Visual Arts,artwork
5e81c257a3258347b42f22f0,Mask: When to use it,Graphic Design|Visual Arts,artwork
5e81c29ea3258347b42f2303,Social Distancing,Visual Arts,artwork
5e822b4aa3258347b42f235f,How Soap Kills Corona Virus,Education,skill
5e823908a3258347b42f2368,Oliveres mediterrànies,Geography|Physical Geography,blog
5e82390ea3258347b42f2369,Oliveres mediterrànies,Geography|Physical Geography,blog
5e8307ada3258347b42f23ec,Aesthetic,Photography,artwork
5e8308c4a3258347b42f23ed,Quarantined,Photography,artwork
5e8309a9a3258347b42f23f2,Bloom🌸,Photography,artwork
5e830a6ca3258347b42f23f6,Dog❤️,Photography,artwork
5e830dc8a3258347b42f23fb,Ways to Choose the Perfect Tour or Travel Agency/Company in Bhubaneswar,Business|Business Organisation,blog
5e8381cfa3258347b42f2428,What Can I Do to Keep Myself Safe From Coronavirus ?,Zoology|Environmental Biology,blog
5e8448aba3258347b42f2447,JUSTICE FOR NORTH EAST,Human Rights|Fundamental Rights,blog
5e84657da3258347b42f2452,Leap of faith,Photography,artwork
5e847970a3258347b42f245e,8 Free Data Science Courses & Tutorials [2020],Computer Technology|Design and Analysis of Algorithms,blog
5e84a6a3a3258347b42f246e,Must-Visit Hill Stations in Maharashtra,Business|Business Organisation,blog
5e85054fa3258347b42f24a0,How Artificial Intelligence tools Help You To Get Smart In Your Content Marketing,Marketing|Marketing Management,blog
5e866cffa3258347b42f24ef,What Is Amalgamation; Absorption and Reconstruction Of Companies?,Accounting|Partnership Accounting|Corporate Accounting|Accounting Theory And Practices,blog
5e8837fba3258347b42f255b,The silence that shouts,Photography,artwork
5e88383aa3258347b42f255c,The silence that shouts,Photography,artwork
5e88a3c0a3258347b42f2572,Top 10 things for someone with itchy feet to do during self-isolation,Business|Business Organisation,blog
5e88aa21a3258347b42f2575,A stone bridge on the full moon night,Watercolours,artwork
5e88aac5a3258347b42f2577,Night View Ha Penny Bridge in Dublin Ireland,Photography,artwork
5e895ceca3258347b42f25b6,What are Set Off and Carry Forward Losses,Legal Studies|Income Tax Laws,blog
5e895d87a3258347b42f25bb,Benefits Of A Virtual Portfolio.,Graphics|Articulation|Computer Creation,blog
5e897ab4a3258347b42f25ca,10 Best Artificial Intelligence (AI) Courses Online for 2020,Computer Technology|Machine Learning,blog
5e897f6ca3258347b42f25cd,5 Best Computer Networking Courses & Certification [2020],Computer Technology|Computer Application,blog
5e8bfa8aa3258347b42f2611,Are We Alone In The Universe?,Archeology|Human Prehistory,blog
5e8c2d01a3258347b42f2627,Even and Odd Numbers (PHP),,project
5e8c993da3258347b42f264d,Armstrong No.(C# .Net),,project
5e8cb88ea3258347b42f267e,Palindrome (C# .Net),,project
5e8cc876a3258347b42f26a3,Negative or Positive No. (PHP),,project
5e8ccfb5a3258347b42f26bc,Friend Number (C# .Net),,project
5e8d539ba3258347b42f26d8,BEING CREATIVE☺☺,Drawings,artwork
5e8e13dca3258347b42f26f2,How To Lead Your Startups After Facing Loses: Case Study,Business|Start Ups|Entreperneurship|Business Strategies|Venture Capitalist|Business Planning,blog
5e901b98a3258347b42f2708,Must-Visit Hill Stations in Maharashtra,Geography|Indian Geography,blog
5e901e9da3258347b42f2711,Advantages of Online Shopping Over Offline Shopping,Marketing|Advertising,blog
5e901f23a3258347b42f2725,Advantages of Online Shopping Over Offline Shopping,Marketing|Advertising,blog
5e90208ca3258347b42f2730,Benefits of Buying Grocery Online in Twin city of Odisha,E Commerce|Shopping Platform|Other Online Platforms|Digital India,blog
5e9028cea3258347b42f2736,How to Choose the Right Home Cleaning Service Provider,Business|Bio-entrepreneurship,blog
5e908602a3258347b42f275b,Creativity During Quarantine?,Literature|Stories,blog
5e91a2dda3258347b42f276d,आमची मुंबाई !!!,History|Indian History,blog
5e936c67a3258347b42f27b6,RADiO JOCKEY,ViDEO,skill
5e940dd0a3258347b42f27f1,freeze,Photography,artwork
5e9415d2a3258347b42f27f8,SpaceX: As A Case Study,Management|Business Management,blog
5e941877a3258347b42f27fd,Bliss :),Photography,artwork
5e943363a3258347b42f2813,Sunset,Photography,artwork
5e9435f7a3258347b42f281a,Peaceful,Photography,artwork
5e94452ea3258347b42f282a,gripping,Visual Arts|Photography,artwork
5e947c4aa3258347b42f283e,IMPORTANCE OF MENTAL HEALTH,Social Work|Health Education,blog
5e947dcda3258347b42f2843,CYBER WORLD WAR,Social Work|Social Tech,blog
5e948155a3258347b42f2850,HOW TO PREPARE YOURSELF FOR A BETTER TOMORROW?,Social Work|Humanities,blog
5e94827ea3258347b42f2854,TOWER,Photography,artwork
5e9483b6a3258347b42f2860,PEACE,Photography,artwork
5e9486f6a3258347b42f287a,EYES,Photography,artwork
5e948786a3258347b42f287e,based on your imagination,Photography,artwork
5e9488c1a3258347b42f288a,CANON,Photography,artwork
5e9489e7a3258347b42f2896,THOUGHTFUL,Photography,artwork
5e948c4fa3258347b42f28a2,engrossed,Photography,artwork
5e948ce6a3258347b42f28aa,Hermit,Photography,artwork
5e948db2a3258347b42f28ae,innocence,Photography,artwork
5e948db6a3258347b42f28b2,peace,Photography,artwork
5e948e4ca3258347b42f28ba,trekking,Photography,artwork
5e948e97a3258347b42f28be,portraying goddess,Photography,artwork
5e948f05a3258347b42f28c2,aloof,Photography,artwork
5e948fb8a3258347b42f28c6,deep thoughts,Photography,artwork
5e948fdfa3258347b42f28ca,monument,Photography,artwork
5e9496b3a3258347b42f28d8,Bloom🌼,Photography,artwork
5e94ae2fa3258347b42f28ee,Be thankful for every second of your life.,Philosophy|Logic,blog
5e94bc47a3258347b42f291d,Time,Drawings,artwork
5e94bf78a3258347b42f2925,Aesthetics,Photography|Visual Arts,artwork
5e94caeda3258347b42f2932,How Chartered Accountants See Entrepreneurship Trends,Accounting|Financial Accounting,blog
5e956e42a3258347b42f297f,The brother sister bond -  A personal touch♥️,Literature|Stories,blog
5e95a06da3258347b42f29b4,Smile more often.,Psycholgy|Social Psychology,blog
5e95d427a3258347b42f29db,Doodles woodles!,Drawings,artwork
5e95dd30a3258347b42f29f5,You are one in a kind!,Photography|Conceptual,artwork
5e95e469a3258347b42f2a02,Indian Space Research Organisation; ISRO.,Physics|Instrumentation,blog
5e95ed0aa3258347b42f2a0e,Lovely explosion box!,Craft work,skill
5e95f087a3258347b42f2a16,HOW TO THINK DIFFERENTLY?,Social Work|Social Interventions|Substance Abuse,blog
5e95f13ba3258347b42f2a1b,INDIA 5 TRILLION ECONOMY,Economics|Indian Economy,blog
5e95f1a8a3258347b42f2a20,INDIA:- SAVIOR FROM CORONA,Social Work|Substance Abuse|Social Interventions|Humanities,blog
5e95f3a0a3258347b42f2a2c,REBEL?,Social Work|Social Interventions|Substance Abuse|Health Education,blog
5e95f44ba3258347b42f2a31,Stand alone and stand apart.,Social Work|Humanities|Social Interventions,blog
5e961830a3258347b42f2a4e,The Best Tools For Financial Analysis.,Finance|Financial Analysis,blog
5e964006a3258347b42f2a65,Interesting Facts On India That You Had No Idea About,History|Indian History,blog
5e964200a3258347b42f2a6d,silence,Photography,artwork
5e964254a3258347b42f2a75,upside down,Photography,artwork
5e964354a3258347b42f2a7d,Beauty,Architecture,artwork
5e964576a3258347b42f2a86,insect,Photography,artwork
5e96464da3258347b42f2a8e,filtered,Photography|Architecture|Painting,artwork
5e964bcea3258347b42f2a96,street art; Jaisalmer,Photography,skill
5e9651d5a3258347b42f2a9f,early mornings with Gang,Photography,artwork
5e966ad3a3258347b42f2aaf,8 Best Machine Learning Courses for 2020,Computer Technology|Cloud Computing|Artificial Intelligence|Information Technology|Programming languages,blog
5e966b74a3258347b42f2ab1,10 Best UI UX Design Course & Certification [2020],Computer Technology|Design and Analysis of Algorithms|Web designing|Database Management|Artificial Intelligence,blog
5e973a30a3258347b42f2ada,Sharing is caring!,Literature|Movements in Literature,blog
5e97542da3258347b42f2ae5,Love binds,Drawings,artwork
5e9754efa3258347b42f2ae8,No one's worth hate🧡,Drawings,artwork
5e976a64a3258347b42f2af1,Dark Matter,Physics|Atomic Physics|Energy Physics|Quantum Mecahnics|Instrumentation,blog
5e977f94a3258347b42f2af9,Aesthetics,Photography,artwork
5e978c7ca3258347b42f2b09,Theory Of Capital Structure.,Business|Business Strategies|Venture Capitalist,blog
5e979490a3258347b42f2b13,Vintage (JAISALMER IS A REAL BEAUTY AND SO IS RAJASTHAN.),Photography|Conceptual,artwork
5e979637a3258347b42f2b1e,Relaxing (Jaisalmer; Rajasthan),Photography|Architecture|Illustration,artwork
5e9796dba3258347b42f2b26,Filtered Busy Streets  (Jaisalmer; Raj.),Photography|Architecture,artwork
5e979786a3258347b42f2b2e,Lost?,Photography,artwork
5e9806f5a3258347b42f2b61,Formation Of Trade Union,Human Rights|Fundamental Rights|Protection & Enforcement,blog
5e980938a3258347b42f2b66,Light Pollution And How To Solve It.,Environment Studies|Pollution|Environmental Biology,blog
5e9895e8a3258347b42f2ba7,Q U I E T,Photography|Conceptual|Illustration,artwork
5e98c18fa3258347b42f2bc4,Disappearing,Photography,artwork
5e99b1c6a3258347b42f2bf2,Shivshakti,Drawings,artwork
5e99b786a3258347b42f2bfd,Alone,Painting,artwork
5e99c99fa3258347b42f2c05,Inside The Black Hole Image That Made History.,Physics|Quantum Mecahnics|Industrial Instrumentation|Atomic Physics|Nuclear & Particle Physics|Energy Physics,blog
5e9a7e73a3258347b42f2c24,Trust,Painting,artwork
5e9a8271a3258347b42f2c35,Near to nature,Painting,artwork
5e9a8437a3258347b42f2c38,Sign of peace,Painting,artwork
5e9aaeefa3258347b42f2c3f,What Can I Do to Keep Myself Safe From Coronavirus ?,Biotechnology|Environmental Biotechnology,blog
5e9ab176a3258347b42f2c4a,Birds Drawing,Painting,artwork
5e9b0274a3258347b42f2c60,Dreaming,Photography,artwork
5e9b0475a3258347b42f2c6b,Not too much to lose?,Photography,artwork
5e9b6b20a3258347b42f2c8d,RAJASTHAN; an absolute beauty.,Geography|Indian Geography,blog
5e9db770a3258347b42f2dcf,E s c a p e,Photography,skill
5e9e2760a3258347b42f2df7,Nature of Industrial Disputes.,Legal Studies|Alternate Dispute Resolution|International Treaties|International Agreement,blog
5e9eececa3258347b42f2e11,Innovative Marketing Strategies,Marketing|Principles Of Marketing|Marketing Research Methadology|Marketing Management|International Marketing,blog
5e9f3e1aa3258347b42f2e39,Goldfish,Painting,artwork
5e9f3f16a3258347b42f2e3c,Women: goddess,Drawings,artwork
5e9f3fd9a3258347b42f2e3f,Pride,Drawings|Painting,artwork
5e9f4045a3258347b42f2e42,Mythical,Painting,artwork
5e9f40b2a3258347b42f2e45,Light to fight,Photography,artwork
